freq,unit,sex,age,icd10,geo\TIME_PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,RT,F,TOTAL,A-R_V-Y,ITC1,,,,,,,,1250.12,1242.63,1542.94,1326.12,,
A,RT,F,TOTAL,A-R_V-Y,ITC2,,,,,,,,1132.96,1078.89,1492.65,1239.67,,
A,RT,F,TOTAL,A-R_V-Y,ITC3,,,,,,,,1464.04,1428.7,1707.08,1509.29,,
A,RT,F,TOTAL,A-R_V-Y,ITC4,,,,,,,,1016.29,1026.81,1368.23,1093.74,,
A,RT,F,TOTAL,A-R_V-Y,ITF1,,,,,,,,1120.64,1145.67,1239.65,1280.28,,
A,RT,F,TOTAL,A-R_V-Y,ITF2,,,,,,,,1181.46,1291.62,1405.99,1459.17,,
A,RT,F,TOTAL,A-R_V-Y,ITF3,,,,,,,,918.17,955.72,1023.1,1088.33,,
A,RT,F,TOTAL,A-R_V-Y,ITF4,,,,,,,,966.31,994.36,1103.18,1174.04,,
A,RT,F,TOTAL,A-R_V-Y,ITF5,,,,,,,,1077.04,1176.65,1210.58,1265.6,,
A,RT,F,TOTAL,A-R_V-Y,ITF6,,,,,,,,1012.71,1050.26,1088.28,1205.0,,
A,RT,F,TOTAL,A-R_V-Y,ITG1,,,,,,,,1037.88,1092.13,1151.85,1238.3,,
A,RT,F,TOTAL,A-R_V-Y,ITG2,,,,,,,,972.69,1012.26,1138.95,1128.91,,
A,RT,F,TOTAL,A-R_V-Y,ITH1,,,,,,,,860.02,839.12,1050.29,932.42,,
A,RT,F,TOTAL,A-R_V-Y,ITH2,,,,,,,,988.02,959.01,1237.09,1003.6,,
A,RT,F,TOTAL,A-R_V-Y,ITH3,,,,,,,,1035.39,1034.86,1206.34,1117.26,,
A,RT,F,TOTAL,A-R_V-Y,ITH4,,,,,,,,1230.3,1217.32,1391.09,1363.65,,
A,RT,F,TOTAL,A-R_V-Y,ITH5,,,,,,,,1149.45,1162.58,1352.18,1275.83,,
A,RT,F,TOTAL,A-R_V-Y,ITI1,,,,,,,,1191.24,1211.18,1315.34,1312.37,,
A,RT,F,TOTAL,A-R_V-Y,ITI2,,,,,,,,1171.4,1197.48,1279.49,1346.7,,
A,RT,F,TOTAL,A-R_V-Y,ITI3,,,,,,,,1141.75,1170.44,1349.35,1353.69,,
A,RT,F,TOTAL,A-R_V-Y,ITI4,,,,,,,,991.99,1024.65,1107.96,1141.06,,
A,RT,F,TOTAL,A15-A19_B90,ITC1,0.44,0.53,0.35,0.52,0.44,0.53,0.44,0.4,0.54,0.27,0.27,0.46,0.32
A,RT,F,TOTAL,A15-A19_B90,ITC2,1.54,1.53,,1.52,,,,,,,3.17,,
A,RT,F,TOTAL,A15-A19_B90,ITC3,0.48,0.97,0.12,0.12,1.21,0.24,0.37,1.12,0.5,0.51,0.38,0.77,0.51
A,RT,F,TOTAL,A15-A19_B90,ITC4,0.58,0.42,0.45,0.35,0.62,0.39,0.43,0.37,0.37,0.43,0.24,0.34,0.28
A,RT,F,TOTAL,A15-A19_B90,ITF1,0.73,0.3,0.59,0.15,,,0.3,0.3,0.3,0.15,0.46,,0.31
A,RT,F,TOTAL,A15-A19_B90,ITF2,,0.62,,,,,,,0.65,,,0.68,
A,RT,F,TOTAL,A15-A19_B90,ITF3,0.1,0.2,0.13,0.13,0.03,0.13,0.2,0.27,0.14,0.03,0.1,0.17,0.07
A,RT,F,TOTAL,A15-A19_B90,ITF4,0.57,0.38,0.14,0.47,0.43,0.33,0.24,0.24,0.34,0.2,0.3,0.2,0.3
A,RT,F,TOTAL,A15-A19_B90,ITF5,0.34,,,0.34,0.68,1.03,0.35,0.35,0.35,,,0.37,1.11
A,RT,F,TOTAL,A15-A19_B90,ITF6,0.1,,,0.1,0.2,0.2,0.2,0.2,0.31,0.21,0.11,0.21,0.32
