flu_season,year_week,region,number_healthcare_workers,number_cases,population,incidence,cases_0-4,inc_0-4,cases_5-14,inc_5-14,cases_15-64,inc_15-64,cases_65+,inc_65+
2011-2012,2012-01,Piedmont,40.0,299.0,53324.0,5.61,21.0,7.56,33.0,5.87,204.0,6.27,41.0,3.31
2011-2012,2012-01,Aosta Valley,7.0,23.0,9475.0,2.43,3.0,3.91,2.0,1.75,15.0,2.71,3.0,1.48
2011-2012,2012-01,Lombardy,122.0,409.0,172450.0,2.37,58.0,4.46,53.0,2.35,255.0,2.53,43.0,1.19
2011-2012,2012-01,AP Bolzano,8.0,29.0,13674.0,2.12,2.0,5.0,3.0,2.33,24.0,2.63,0.0,0.0
2011-2012,2012-01,AP Trento,11.0,46.0,14293.0,3.22,13.0,12.38,9.0,3.0,22.0,2.84,2.0,0.8
2011-2012,2012-01,Veneto,76.0,200.0,99447.0,2.01,17.0,2.34,17.0,1.22,125.0,2.19,41.0,1.94
2011-2012,2012-01,Friuli-Venezia Giulia,15.0,26.0,18985.0,1.37,3.0,1.49,3.0,0.89,17.0,1.77,3.0,0.76
2011-2012,2012-01,Liguria,35.0,63.0,42834.0,1.47,19.0,7.55,8.0,1.82,29.0,1.17,7.0,0.63
2011-2012,2012-01,Emilia-Romagna,62.0,269.0,80350.0,3.35,50.0,7.22,57.0,4.28,136.0,3.14,26.0,1.55
2011-2012,2012-01,Tuscany,43.0,201.0,54176.0,3.71,15.0,5.2,28.0,4.76,134.0,4.15,24.0,1.82
2011-2012,2012-01,Umbria,13.0,36.0,16705.0,2.16,8.0,6.41,14.0,5.41,9.0,0.99,5.0,1.34
2011-2012,2012-01,Marche,17.0,43.0,20853.0,2.06,7.0,2.72,5.0,1.01,23.0,2.4,8.0,2.11
2011-2012,2012-01,Lazio,63.0,267.0,81360.0,3.28,47.0,8.88,52.0,5.18,147.0,2.92,21.0,1.34
2011-2012,2012-01,Abruzzo,19.0,46.0,18136.0,2.54,12.0,6.04,9.0,2.19,16.0,1.81,9.0,2.82
2011-2012,2012-01,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-01,Campania,63.0,380.0,76497.0,4.97,54.0,8.79,79.0,5.71,205.0,4.62,42.0,3.45
2011-2012,2012-01,Apulia,107.0,145.0,138864.0,1.04,16.0,2.25,15.0,1.0,101.0,1.11,13.0,0.51
2011-2012,2012-01,Basilicata,1.0,1.0,1511.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.08
2011-2012,2012-01,Calabria,11.0,32.0,15114.0,2.12,6.0,4.83,11.0,4.44,12.0,1.36,3.0,1.16
2011-2012,2012-01,Sicily,49.0,236.0,64828.0,3.64,18.0,11.89,15.0,4.17,174.0,3.77,29.0,2.14
2011-2012,2012-01,Sardinia,6.0,27.0,6131.0,4.4,2.0,2.53,4.0,2.24,12.0,4.94,9.0,8.03
2011-2012,2012-02,Piedmont,37.0,325.0,48126.0,6.75,26.0,9.44,35.0,6.41,218.0,7.55,46.0,4.17
2011-2012,2012-02,Aosta Valley,6.0,25.0,8594.0,2.91,3.0,7.75,2.0,3.11,17.0,3.07,3.0,1.48
2011-2012,2012-02,Lombardy,136.0,671.0,189595.0,3.54,121.0,8.37,82.0,3.23,393.0,3.57,75.0,1.88
2011-2012,2012-02,AP Bolzano,8.0,37.0,13895.0,2.66,13.0,18.36,5.0,2.03,15.0,1.83,4.0,1.6
2011-2012,2012-02,AP Trento,12.0,112.0,15824.0,7.08,20.0,18.0,42.0,14.54,45.0,5.06,5.0,1.7
2011-2012,2012-02,Veneto,79.0,300.0,102254.0,2.93,28.0,3.86,33.0,2.36,204.0,3.46,35.0,1.59
2011-2012,2012-02,Friuli-Venezia Giulia,16.0,28.0,22079.0,1.27,2.0,2.06,1.0,0.39,20.0,1.52,5.0,0.93
2011-2012,2012-02,Liguria,40.0,116.0,49345.0,2.35,16.0,5.38,22.0,4.39,68.0,2.37,10.0,0.79
2011-2012,2012-02,Emilia-Romagna,75.0,471.0,98258.0,4.79,72.0,10.42,66.0,4.87,284.0,5.03,49.0,2.3
2011-2012,2012-02,Tuscany,42.0,274.0,53112.0,5.16,20.0,9.33,40.0,7.28,163.0,5.01,51.0,3.94
2011-2012,2012-02,Umbria,13.0,43.0,15583.0,2.76,10.0,6.58,18.0,5.57,14.0,1.82,1.0,0.32
2011-2012,2012-02,Marche,15.0,77.0,18119.0,4.25,11.0,4.34,14.0,2.78,40.0,5.17,12.0,4.26
2011-2012,2012-02,Lazio,68.0,425.0,87029.0,4.88,67.0,12.74,74.0,7.21,251.0,4.6,33.0,1.95
2011-2012,2012-02,Abruzzo,15.0,25.0,13083.0,1.91,12.0,5.95,6.0,1.66,5.0,0.93,2.0,0.97
2011-2012,2012-02,Molise,13.0,54.0,15369.0,3.51,14.0,9.7,19.0,6.24,18.0,2.43,3.0,0.87
2011-2012,2012-02,Campania,47.0,392.0,55356.0,7.08,99.0,14.78,100.0,7.19,158.0,5.92,35.0,4.33
2011-2012,2012-02,Apulia,120.0,271.0,153318.0,1.77,45.0,4.65,45.0,2.35,156.0,1.61,25.0,0.9
2011-2012,2012-02,Basilicata,1.0,4.0,1511.0,2.65,0.0,0.0,0.0,0.0,4.0,3.41,0.0,0.0
2011-2012,2012-02,Calabria,13.0,48.0,17371.0,2.76,7.0,3.81,12.0,3.03,23.0,2.55,6.0,2.37
2011-2012,2012-02,Sicily,47.0,286.0,60222.0,4.75,13.0,8.8,31.0,9.25,188.0,4.4,54.0,4.25
2011-2012,2012-02,Sardinia,6.0,13.0,5412.0,2.4,8.0,7.77,3.0,1.33,2.0,1.41,0.0,0.0
2011-2012,2012-03,Piedmont,40.0,411.0,53039.0,7.75,69.0,20.38,72.0,11.81,227.0,7.1,43.0,3.72
2011-2012,2012-03,Aosta Valley,7.0,37.0,9432.0,3.92,4.0,5.21,7.0,6.15,17.0,3.11,9.0,4.36
2011-2012,2012-03,Lombardy,144.0,1187.0,200217.0,5.93,304.0,17.6,342.0,11.72,474.0,4.19,67.0,1.65
2011-2012,2012-03,AP Bolzano,10.0,67.0,16699.0,4.01,12.0,17.19,21.0,8.44,33.0,3.17,1.0,0.32
2011-2012,2012-03,AP Trento,14.0,197.0,18606.0,10.59,56.0,39.19,73.0,20.66,61.0,5.88,7.0,2.14
2011-2012,2012-03,Veneto,77.0,547.0,99328.0,5.51,145.0,19.97,108.0,7.74,248.0,4.36,46.0,2.16
2011-2012,2012-03,Friuli-Venezia Giulia,18.0,50.0,24106.0,2.07,14.0,6.89,5.0,1.39,26.0,1.99,5.0,0.93
2011-2012,2012-03,Liguria,38.0,152.0,45576.0,3.34,36.0,14.22,35.0,7.73,69.0,2.58,12.0,1.02
2011-2012,2012-03,Emilia-Romagna,75.0,744.0,97702.0,7.61,198.0,23.08,146.0,9.18,354.0,6.63,46.0,2.32
2011-2012,2012-03,Tuscany,44.0,373.0,55292.0,6.75,56.0,21.45,70.0,11.52,197.0,5.93,50.0,3.73
2011-2012,2012-03,Umbria,11.0,41.0,13855.0,2.96,9.0,9.42,19.0,9.23,12.0,1.58,1.0,0.31
2011-2012,2012-03,Marche,21.0,386.0,24294.0,15.89,192.0,48.19,117.0,16.12,68.0,7.3,9.0,2.41
2011-2012,2012-03,Lazio,70.0,660.0,89271.0,7.39,140.0,22.08,151.0,12.64,328.0,6.05,41.0,2.45
2011-2012,2012-03,Abruzzo,19.0,104.0,17945.0,5.8,29.0,11.89,47.0,10.6,18.0,2.21,10.0,3.41
2011-2012,2012-03,Molise,14.0,223.0,16130.0,13.83,79.0,41.27,87.0,25.44,40.0,5.44,17.0,4.95
2011-2012,2012-03,Campania,56.0,660.0,68954.0,9.57,158.0,22.14,214.0,15.15,252.0,6.6,36.0,3.78
2011-2012,2012-03,Apulia,116.0,519.0,150404.0,3.45,111.0,12.27,170.0,9.37,202.0,2.11,36.0,1.32
2011-2012,2012-03,Basilicata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-03,Calabria,16.0,106.0,21005.0,5.05,20.0,8.99,41.0,9.1,39.0,3.56,6.0,1.81
2011-2012,2012-03,Sicily,49.0,305.0,65255.0,4.67,25.0,19.78,58.0,18.31,189.0,4.06,33.0,2.31
2011-2012,2012-03,Sardinia,7.0,89.0,6933.0,12.84,54.0,51.82,13.0,5.6,15.0,6.12,7.0,6.24
2011-2012,2012-04,Piedmont,41.0,541.0,53514.0,10.11,76.0,27.53,124.0,22.03,290.0,8.81,51.0,4.17
2011-2012,2012-04,Aosta Valley,7.0,58.0,8564.0,6.77,16.0,14.65,18.0,12.89,20.0,4.59,4.0,2.32
2011-2012,2012-04,Lombardy,144.0,1702.0,201626.0,8.44,421.0,25.83,491.0,16.95,696.0,6.05,94.0,2.27
