freq,c_resid,nace_r2,month,unit,geo\TIME_PERIOD,2020,2021,2022,2023,2024
A,DOM,I551-I553,M01,NR,ITC1,511913.0,213468.0,408008.0,545954.0,524204.0
A,DOM,I551-I553,M01,NR,ITC2,218386.0,9289.0,199053.0,239368.0,247613.0
A,DOM,I551-I553,M01,NR,ITC3,407555.0,125235.0,354103.0,417449.0,390450.0
A,DOM,I551-I553,M01,NR,ITC4,1186663.0,457699.0,922435.0,1201568.0,1226321.0
A,DOM,I551-I553,M01,NR,ITF1,189782.0,45665.0,166065.0,181384.0,234515.0
A,DOM,I551-I553,M01,NR,ITF2,9956.0,7902.0,15084.0,18166.0,14139.0
A,DOM,I551-I553,M01,NR,ITF3,396215.0,97266.0,238584.0,393551.0,398496.0
A,DOM,I551-I553,M01,NR,ITF4,198802.0,95258.0,151058.0,190248.0,182840.0
A,DOM,I551-I553,M01,NR,ITF5,52285.0,16507.0,37831.0,52838.0,58465.0
A,DOM,I551-I553,M01,NR,ITF6,107131.0,36610.0,56796.0,63727.0,65807.0
A,DOM,I551-I553,M01,NR,ITG1,212952.0,85303.0,180154.0,259533.0,274156.0
A,DOM,I551-I553,M01,NR,ITG2,80796.0,41714.0,64594.0,86173.0,84964.0
A,DOM,I551-I553,M01,NR,ITH1,1045657.0,99859.0,995250.0,1199304.0,1151189.0
A,DOM,I551-I553,M01,NR,ITH2,1161661.0,60544.0,1013181.0,1293894.0,1251562.0
A,DOM,I551-I553,M01,NR,ITH3,1100707.0,417513.0,821440.0,1096233.0,1089860.0
A,DOM,I551-I553,M01,NR,ITH4,170994.0,80970.0,147399.0,195419.0,206208.0
A,DOM,I551-I553,M01,NR,ITH5,891301.0,368042.0,630149.0,865988.0,903754.0
A,DOM,I551-I553,M01,NR,ITI1,790361.0,297298.0,613084.0,758759.0,668070.0
A,DOM,I551-I553,M01,NR,ITI2,187428.0,51797.0,159739.0,222165.0,218944.0
A,DOM,I551-I553,M01,NR,ITI3,247933.0,159856.0,198034.0,245017.0,208222.0
A,DOM,I551-I553,M01,NR,ITI4,939515.0,252914.0,728566.0,1318207.0,1206015.0
A,DOM,I551-I553,M02,NR,ITC1,423408.0,272973.0,418495.0,465316.0,490572.0
A,DOM,I551-I553,M02,NR,ITC2,177549.0,16151.0,138900.0,163765.0,183208.0
A,DOM,I551-I553,M02,NR,ITC3,408166.0,157514.0,351749.0,383609.0,399242.0
A,DOM,I551-I553,M02,NR,ITC4,1028219.0,665032.0,965892.0,1113309.0,1177498.0
A,DOM,I551-I553,M02,NR,ITF1,183206.0,50127.0,172325.0,223341.0,225514.0
A,DOM,I551-I553,M02,NR,ITF2,9657.0,8132.0,16501.0,16475.0,16030.0
